episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,2,252,252,252,252,252,252,252,252,False,0,1,ebf93_00000,44ae78f0844343a2a72190be85c49953,2022-08-25_12-44-57,1661424297,2.258410930633545,2.258410930633545,1046194,zet4,192.168.70.36,2.258410930633545,0,1,8.386287450790405,252,252,252,252,nan,nan,nan,nan,0,[],[],2250.431,0.475,530871.225,476.757,528.572,1.753,252,252,252,252,71.65,72.525,[],[],128.0,0.0,0.20000000000000007,4.999999999999999e-05,7.889696868260701,-0.8645309249560038,8.75168571472168,-0.00028804739316304524,0.01271022174623555,9.416107845306396,0.0
11.107828487558526,-0.4736433629505472,5.31709256230399,252.0,2,2,504,504,504,504,252,252,504,504,False,2,2,ebf93_00000,44ae78f0844343a2a72190be85c49953,2022-08-25_12-44-59,1661424299,2.4101011753082275,4.6685121059417725,1046194,zet4,192.168.70.36,4.6685121059417725,0,2,8.386287450790405,504,504,504,504,11.107828487558526,-0.4736433629505472,5.31709256230399,252.0,2,"[11.107828487558526, -0.4736433629505472]","[252, 252]",2326.981,0.369,683014.286,497.418,506.617,2.118,504,504,504,504,80.06666666666666,72.5,"[11.107828487558526, -0.4736433629505472]","[252, 252]",128.0,0.0,0.20000000000000007,4.999999999999999e-05,8.358491706848145,0.5491360306739808,7.804367526372274,0.0001891036828358968,0.024940791603850047,9.413690694173177,0.0
11.107828487558526,-0.4736433629505472,5.31709256230399,252.0,0,2,756,756,756,756,252,252,756,756,False,2,3,ebf93_00000,44ae78f0844343a2a72190be85c49953,2022-08-25_12-45-01,1661424301,1.9348931312561035,6.603405237197876,1046194,zet4,192.168.70.36,6.603405237197876,0,3,8.386287450790405,756,756,756,756,11.107828487558526,-0.4736433629505472,5.31709256230399,252.0,0,"[11.107828487558526, -0.4736433629505472]","[252, 252]",2194.598,0.412,610962.201,488.139,516.246,1.969,756,756,756,756,66.16666666666667,72.53333333333333,"[11.107828487558526, -0.4736433629505472]","[252, 252]",128.0,0.0,0.3000000000000001,4.999999999999999e-05,5.348374780019125,0.5631173451741537,4.777678712209066,-9.207924207051595e-05,0.025262155389454897,9.348486963907877,0.0
53.540016461468404,-0.4736433629505472,27.78010666968259,252.0,2,2,1008,1008,1008,1008,252,252,1008,1008,False,4,4,ebf93_00000,44ae78f0844343a2a72190be85c49953,2022-08-25_12-45-03,1661424303,2.180989980697632,8.784395217895508,1046194,zet4,192.168.70.36,8.784395217895508,0,4,8.386287450790405,1008,1008,1008,1008,53.540016461468404,-0.4736433629505472,27.78010666968259,252.0,2,"[11.107828487558526, -0.4736433629505472, 53.540016461468404, 46.946225092653975]","[252, 252, 252, 252]",2189.675,0.429,586795.063,531.236,474.366,2.222,1008,1008,1008,1008,72.03333333333333,72.5,"[11.107828487558526, -0.4736433629505472, 53.540016461468404, 46.946225092653975]","[252, 252, 252, 252]",128.0,0.0,0.4499999999999999,4.999999999999999e-05,8.198035780588786,-0.3790158917506536,8.5697998046875,-0.000264894962310791,0.016115341343609833,9.355589580535888,0.0
53.540016461468404,-0.4736433629505472,27.78010666968259,252.0,0,2,1260,1260,1260,1260,252,252,1260,1260,False,4,5,ebf93_00000,44ae78f0844343a2a72190be85c49953,2022-08-25_12-45-06,1661424306,2.6437301635742188,11.428125381469727,1046194,zet4,192.168.70.36,11.428125381469727,0,5,8.386287450790405,1260,1260,1260,1260,53.540016461468404,-0.4736433629505472,27.78010666968259,252.0,0,"[11.107828487558526, -0.4736433629505472, 53.540016461468404, 46.946225092653975]","[252, 252, 252, 252]",2279.556,0.403,625867.248,530.904,474.662,2.126,1260,1260,1260,1260,85.67500000000001,72.725,"[11.107828487558526, -0.4736433629505472, 53.540016461468404, 46.946225092653975]","[252, 252, 252, 252]",128.0,0.0,0.4499999999999999,4.999999999999999e-05,5.333945035934448,0.4269435922304789,4.8978707949320475,0.0020056843757629396,0.020290411045573838,9.3601274172465,0.0
57.60024189482795,-0.4736433629505472,37.26230998024408,252.0,2,2,1512,1512,1512,1512,252,252,1512,1512,False,6,6,ebf93_00000,44ae78f0844343a2a72190be85c49953,2022-08-25_12-45-08,1661424308,1.9152719974517822,13.343397378921509,1046194,zet4,192.168.70.36,13.343397378921509,0,6,8.386287450790405,1512,1512,1512,1512,57.60024189482795,-0.4736433629505472,37.26230998024408,252.0,2,"[11.107828487558526, -0.4736433629505472, 53.540016461468404, 46.946225092653975, 57.60024189482795, 54.853191307906215]","[252, 252, 252, 252, 252, 252]",2217.553,0.404,624253.14,526.075,479.019,2.085,1512,1512,1512,1512,64.3,72.5,"[11.107828487558526, -0.4736433629505472, 53.540016461468404, 46.946225092653975, 57.60024189482795, 54.853191307906215]","[252, 252, 252, 252, 252, 252]",128.0,0.0,0.6750000000000003,4.999999999999999e-05,9.182390785217285,-0.5029000590244929,9.67961695988973,0.00048222144444783527,0.008405631312168893,9.378352292378743,0.0
57.60024189482795,-0.4736433629505472,37.26230998024408,252.0,0,2,1764,1764,1764,1764,252,252,1764,1764,False,6,7,ebf93_00000,44ae78f0844343a2a72190be85c49953,2022-08-25_12-45-10,1661424310,1.9490363597869873,15.292433738708496,1046194,zet4,192.168.70.36,15.292433738708496,0,7,8.386287450790405,1764,1764,1764,1764,57.60024189482795,-0.4736433629505472,37.26230998024408,252.0,0,"[11.107828487558526, -0.4736433629505472, 53.540016461468404, 46.946225092653975, 57.60024189482795, 54.853191307906215]","[252, 252, 252, 252, 252, 252]",2178.394,0.387,651413.3,526.091,479.005,2.035,1764,1764,1764,1764,68.10000000000001,72.53333333333333,"[11.107828487558526, -0.4736433629505472, 53.540016461468404, 46.946225092653975, 57.60024189482795, 54.853191307906215]","[252, 252, 252, 252, 252, 252]",128.0,0.0,0.6750000000000003,4.999999999999999e-05,8.87246135075887,-0.20895701547463735,9.068374156951904,-0.0009248058001200358,0.01932479211744938,9.330557600657146,0.0
79.23624928295729,-0.4736433629505472,45.84091565350827,252.0,2,2,2016,2016,2016,2016,252,252,2016,2016,False,8,8,ebf93_00000,44ae78f0844343a2a72190be85c49953,2022-08-25_12-45-12,1661424312,2.389885425567627,17.682319164276123,1046194,zet4,192.168.70.36,17.682319164276123,0,8,8.386287450790405,2016,2016,2016,2016,79.23624928295729,-0.4736433629505472,45.84091565350827,252.0,2,"[11.107828487558526, -0.4736433629505472, 53.540016461468404, 46.946225092653975, 57.60024189482795, 54.853191307906215, 63.91721606364433, 79.23624928295729]","[252, 252, 252, 252, 252, 252, 252, 252]",2204.168,0.372,677270.073,521.859,482.889,2.052,2016,2016,2016,2016,84.3,72.53333333333333,"[11.107828487558526, -0.4736433629505472, 53.540016461468404, 46.946225092653975, 57.60024189482795, 54.853191307906215, 63.91721606364433, 79.23624928295729]","[252, 252, 252, 252, 252, 252, 252, 252]",128.0,0.0,0.6750000000000003,4.999999999999999e-05,7.836214065551758,0.4116644024848938,7.410008080800375,-0.001397844155629476,0.02154290371967861,9.396459070841471,0.0
79.23624928295729,-0.4736433629505472,45.84091565350827,252.0,0,2,2268,2268,2268,2268,252,252,2268,2268,False,8,9,ebf93_00000,44ae78f0844343a2a72190be85c49953,2022-08-25_12-45-14,1661424314,1.866581678390503,19.548900842666626,1046194,zet4,192.168.70.36,19.548900842666626,0,9,8.386287450790405,2268,2268,2268,2268,79.23624928295729,-0.4736433629505472,45.84091565350827,252.0,0,"[11.107828487558526, -0.4736433629505472, 53.540016461468404, 46.946225092653975, 57.60024189482795, 54.853191307906215, 63.91721606364433, 79.23624928295729]","[252, 252, 252, 252, 252, 252, 252, 252]",2165.931,0.36,699513.308,517.839,486.638,2.148,2268,2268,2268,2268,61.76666666666666,72.36666666666667,"[11.107828487558526, -0.4736433629505472, 53.540016461468404, 46.946225092653975, 57.60024189482795, 54.853191307906215, 63.91721606364433, 79.23624928295729]","[252, 252, 252, 252, 252, 252, 252, 252]",128.0,0.0,1.0125,4.999999999999999e-05,9.936336453755697,0.2690799410144488,9.650916798909504,0.00011413494745890299,0.016138145737880548,9.319362703959147,0.0
79.23624928295729,-0.4736433629505472,50.314351333740795,252.0,2,2,2520,2520,2520,2520,252,252,2520,2520,False,10,10,ebf93_00000,44ae78f0844343a2a72190be85c49953,2022-08-25_12-45-16,1661424316,1.9990215301513672,21.547922372817993,1046194,zet4,192.168.70.36,21.547922372817993,0,10,8.386287450790405,2520,2520,2520,2520,79.23624928295729,-0.4736433629505472,50.314351333740795,252.0,2,"[11.107828487558526, -0.4736433629505472, 53.540016461468404, 46.946225092653975, 57.60024189482795, 54.853191307906215, 63.91721606364433, 79.23624928295729, 72.67349745033982, 63.742690659001966]","[252, 252, 252, 252, 252, 252, 252, 252, 252, 252]",2148.535,0.355,710277.944,516.328,488.062,2.133,2520,2520,2520,2520,64.86666666666667,72.33333333333333,"[11.107828487558526, -0.4736433629505472, 53.540016461468404, 46.946225092653975, 57.60024189482795, 54.853191307906215, 63.91721606364433, 79.23624928295729, 72.67349745033982, 63.742690659001966]","[252, 252, 252, 252, 252, 252, 252, 252, 252, 252]",128.0,0.0,1.0125,4.999999999999999e-05,7.923177576065063,-0.6901417672634125,8.60154225031535,-0.0013117392857869465,0.011631624435181998,9.286504554748536,0.0
